_id,sessionID,depot_id,stationID,vehicle_type,charger_type,timezone,connectionTime,disconnectTime,doneChargingTime,extraTime,kWhDelivered,kWhRequested,minutesAvailable,WhPerMile,BUS_CAPACITY_KWH,plug_in_soc_kwh,plug_out_soc_kwh,plug_in_soc_percent,plug_out_soc_percent,energy_met_percent
D0_CAR_MODEL_A_13,D0_CAR_MODEL_A_13,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-01 08:33:14.557494,2024-01-01 09:12:14.557494,2024-01-01 09:05:00,7.2426249,7.33,6.58,39.0,300,75.0,24.83,32.17,33.11,42.89,111.48
D0_CAR_MODEL_A_32,D0_CAR_MODEL_A_32,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_2,CAR_MODEL_A,AC,UTC+8,2024-01-01 08:36:17.512825,2024-01-01 09:07:17.512825,2024-01-01 09:00:00,7.291880416666667,5.5,5.23,31.0,300,75.0,24.9,30.4,33.2,40.54,105.19
D0_R1_B0_L1_Pagoh,D0_R1_B0_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_0,BYD_K9,DC,UTC+8,2024-01-01 10:32:29.014246,2024-01-01 11:02:29.014246,2024-01-01 10:55:00,7.483570766666667,125.0,115.0,30.0,2000,324.0,129.42,254.42,39.94,78.52,108.7
D0_CAR_MODEL_A_5,D0_CAR_MODEL_A_5,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-01 10:40:31.028955,2024-01-01 11:28:31.028955,2024-01-01 11:20:00,8.51714925,8.25,8.1,48.0,300,75.0,37.12,45.37,49.5,60.5,101.9
D0_R1_B1_L1_Pagoh,D0_R1_B1_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_1,BYD_K9,DC,UTC+8,2024-01-01 10:52:36.908957,2024-01-01 11:22:36.908957,2024-01-01 11:15:00,7.615149283333333,125.0,115.0,30.0,2000,324.0,152.31,277.31,47.01,85.59,108.7
D0_R1_B2_L1_Pagoh,D0_R1_B2_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_2,BYD_K9,DC,UTC+8,2024-01-01 11:07:53.763845,2024-01-01 11:37:53.763845,2024-01-01 11:30:00,7.896064083333333,125.0,115.0,30.0,2000,324.0,90.57,215.57,27.96,66.54,108.7
D0_R1_B3_L1_Pagoh,D0_R1_B3_L1_Pagoh,MY_PAGOH_FAST,MY_PAGOH_FAST_DC_3,BYD_K9,DC,UTC+8,2024-01-01 11:17:42.768013,2024-01-01 11:47:42.768013,2024-01-01 11:40:00,7.7128002166666665,125.0,115.0,30.0,2000,324.0,161.36,286.36,49.8,88.38,108.7
D0_CAR_MODEL_A_31,D0_CAR_MODEL_A_31,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-01 12:10:51.788086,2024-01-01 12:44:51.788086,2024-01-01 12:35:00,9.863134766666667,5.5,5.73,34.0,300,75.0,14.41,19.91,19.21,26.54,95.91
D0_CAR_MODEL_A_12,D0_CAR_MODEL_A_12,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_0,CAR_MODEL_A,AC,UTC+8,2024-01-01 14:51:05.966921,2024-01-01 15:50:05.966921,2024-01-01 15:40:00,10.099448683333332,10.08,9.95,59.0,300,75.0,9.04,19.12,12.05,25.49,101.33
D0_CAR_MODEL_A_34,D0_CAR_MODEL_A_34,MY_PAGOH_FAST,MY_PAGOH_FAST_AC_1,CAR_MODEL_A,AC,UTC+8,2024-01-01 16:06:22.137733,2024-01-01 16:48:22.137733,2024-01-01 16:40:00,8.368962216666667,7.33,7.08,42.0,300,75.0,29.33,36.66,39.1,48.88,103.52
